Age,Workclass,Education,Marital-status,Occupation,Relationship,Race,Gender,Hours-per-week,Native-country,Income,Encoded_Salary
36,Private,Less than Bachelor's,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K,0
29,Private,Less than Bachelor's,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K,0
20,State-gov,Less than Bachelor's,Never-married,Farming-fishing,Own-child,White,Male,32,United-States,<=50K,0
28,Private,Bachelor's Degree,Married-civ-spouse,Prof-specialty,Wife,White,Female,36,United-States,>50K,1
39,Private,Less than Bachelor's,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Mexico,<=50K,0
54,Private,Less than Bachelor's,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,<=50K,0
52,Private,Less than Bachelor's,Separated,Priv-house-serv,Not-in-family,Black,Female,18,United-States,<=50K,0
56,Self-emp-inc,Less than Bachelor's,Widowed,Exec-managerial,Not-in-family,White,Female,50,United-States,<=50K,0
18,Private,Less than Bachelor's,Never-married,Other-service,Own-child,White,Male,20,United-States,<=50K,0
39,Private,Less than Bachelor's,Divorced,Handlers-cleaners,Own-child,Black,Male,40,United-States,<=50K,0
21,Private,Less than Bachelor's,Never-married,Other-service,Own-child,White,Female,24,United-States,<=50K,0
22,Private,Less than Bachelor's,Never-married,Other-service,Not-in-family,White,Male,60,United-States,>50K,1
38,Private,Less than Bachelor's,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,54,Mexico,<=50K,0
21,Private,Less than Bachelor's,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,0
63,Private,Less than Bachelor's,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0
34,Local-gov,Bachelor's Degree,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,1
42,Self-emp-inc,Less than Bachelor's,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,1
33,Private,Less than Bachelor's,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,0
30,Private,Bachelor's Degree,Never-married,Exec-managerial,Not-in-family,White,Female,50,United-States,<=50K,0
39,Private,Less than Bachelor's,Divorced,Sales,Not-in-family,White,Male,40,United-States,<=50K,0
26,Private,Master's Degree,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,0
33,Private,Less than Bachelor's,Never-married,Machine-op-inspct,Own-child,White,Female,40,United-States,<=50K,0
47,Local-gov,Less than Bachelor's,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0
41,Self-emp-inc,Less than Bachelor's,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,>50K,1
19,Private,Less than Bachelor's,Never-married,Other-service,Own-child,White,Male,20,United-States,<=50K,0
46,Private,Less than Bachelor's,Separated,Transport-moving,Not-in-family,White,Male,40,United-States,<=50K,0
43,Private,Less than Bachelor's,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,<=50K,0
55,Private,Less than Bachelor's,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,1
46,Private,Bachelor's Degree,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,<=50K,0
30,Private,Less than Bachelor's,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,<=50K,0
21,Private,Less than Bachelor's,Separated,Handlers-cleaners,Not-in-family,White,Female,40,United-States,<=50K,0
46,Private,Less than Bachelor's,Married-civ-spouse,Craft-repair,Husband,Other,Male,40,Dominican-Republic,<=50K,0
41,Private,Less than Bachelor's,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50,United-States,<=50K,0
69,Self-emp-inc,Less than Bachelor's,Married-civ-spouse,Sales,Husband,White,Male,30,United-States,<=50K,0
50,Private,Less than Bachelor's,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,0
20,Private,Less than Bachelor's,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0
45,Self-emp-inc,Less than Bachelor's,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50,United-States,<=50K,0
23,Private,Bachelor's Degree,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K,0
24,Private,Less than Bachelor's,Separated,Other-service,Not-in-family,White,Male,40,United-States,<=50K,0
31,Self-emp-not-inc,Less than Bachelor's,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,<=50K,0
43,Private,Less than Bachelor's,Separated,Machine-op-inspct,Not-in-family,White,Female,44,United-States,<=50K,0
20,Federal-gov,Less than Bachelor's,Never-married,Other-service,Own-child,White,Female,10,United-States,<=50K,0
55,Private,Less than Bachelor's,Married-civ-spouse,Sales,Husband,White,Male,56,United-States,>50K,1
24,Federal-gov,Less than Bachelor's,Never-married,Armed-Forces,Not-in-family,White,Male,40,United-States,<=50K,0
59,Private,Bachelor's Degree,Never-married,Exec-managerial,Not-in-family,White,Female,25,United-States,<=50K,0
49,Federal-gov,Less than Bachelor's,Never-married,Other-service,Not-in-family,Black,Male,20,United-States,<=50K,0
33,Private,Master's Degree,Married-civ-spouse,Prof-specialty,Wife,White,Female,10,United-States,>50K,1
59,Federal-gov,Bachelor's Degree,Divorced,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,0
34,Private,Master's Degree,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,40,United-States,<=50K,0
20,Private,Less than Bachelor's,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K,0
25,Private,Bachelor's Degree,Never-married,Exec-managerial,Own-child,White,Female,40,United-States,<=50K,0
49,Private,Less than Bachelor's,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K,0
59,Private,Less than Bachelor's,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,>50K,1
20,Private,Less than Bachelor's,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0
33,Private,Less than Bachelor's,Never-married,Adm-clerical,Unmarried,Black,Female,35,United-States,<=50K,0
22,Private,Less than Bachelor's,Never-married,Transport-moving,Own-child,Black,Male,39,United-States,<=50K,0
58,Self-emp-not-inc,Less than Bachelor's,Widowed,Other-service,Not-in-family,White,Female,40,United-States,<=50K,0
52,Local-gov,Less than Bachelor's,Widowed,Adm-clerical,Unmarried,White,Female,28,United-States,<=50K,0
36,Private,Less than Bachelor's,Separated,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K,0
41,Local-gov,Less than Bachelor's,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,<=50K,0
28,Private,Less than Bachelor's,Never-married,Transport-moving,Own-child,White,Male,40,United-States,<=50K,0
19,Private,Less than Bachelor's,Never-married,Handlers-cleaners,Own-child,Black,Male,16,United-States,<=50K,0
18,Private,Less than Bachelor's,Never-married,Other-service,Not-in-family,White,Female,28,United-States,<=50K,0
18,Private,Less than Bachelor's,Never-married,Machine-op-inspct,Own-child,White,Female,48,United-States,<=50K,0
28,Private,Less than Bachelor's,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0
29,Private,Bachelor's Degree,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,1
40,Private,Less than Bachelor's,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,0
26,Private,Less than Bachelor's,Never-married,Handlers-cleaners,Unmarried,White,Male,40,United-States,<=50K,0
46,Private,Less than Bachelor's,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0
23,Private,Less than Bachelor's,Never-married,Other-service,Not-in-family,White,Female,24,United-States,<=50K,0
44,Private,Less than Bachelor's,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,0
43,Private,Bachelor's Degree,Divorced,Sales,Unmarried,White,Female,40,United-States,>50K,1
31,Local-gov,Bachelor's Degree,Divorced,Prof-specialty,Unmarried,White,Female,60,United-States,<=50K,0
18,Private,Less than Bachelor's,Never-married,Sales,Own-child,White,Female,25,United-States,<=50K,0
19,Private,Less than Bachelor's,Never-married,Protective-serv,Own-child,White,Male,30,United-States,<=50K,0
41,Private,Less than Bachelor's,Divorced,Tech-support,Not-in-family,White,Female,40,United-States,<=50K,0
41,Private,Less than Bachelor's,Divorced,Handlers-cleaners,Unmarried,White,Female,40,United-States,<=50K,0
69,Private,Less than Bachelor's,Divorced,Adm-clerical,Not-in-family,White,Female,25,United-States,<=50K,0
48,Federal-gov,Doctorate Degree,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K,1
28,Private,Less than Bachelor's,Never-married,Prof-specialty,Own-child,White,Male,40,United-States,<=50K,0
27,Self-emp-not-inc,Less than Bachelor's,Married-civ-spouse,Craft-repair,Husband,White,Male,60,Ireland,>50K,1
41,Private,Master's Degree,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,1
41,Private,Less than Bachelor's,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K,0
24,Private,Less than Bachelor's,Never-married,Craft-repair,Unmarried,Black,Female,40,United-States,<=50K,0
42,Self-emp-inc,Doctorate Degree,Married-civ-spouse,Prof-specialty,Husband,White,Male,41,United-States,>50K,1
57,Private,Less than Bachelor's,Married-civ-spouse,Craft-repair,Husband,Black,Male,48,United-States,<=50K,0
30,Private,Less than Bachelor's,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,0
36,Private,Less than Bachelor's,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,>50K,1
49,Private,Less than Bachelor's,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,<=50K,0
33,Private,Less than Bachelor's,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,35,United-States,<=50K,0
23,Private,Less than Bachelor's,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K,0
46,Private,Master's Degree,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,0
18,Private,Less than Bachelor's,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,22,Germany,<=50K,0
40,Private,Less than Bachelor's,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K,1
43,Self-emp-inc,Less than Bachelor's,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,1
34,Private,Master's Degree,Never-married,Prof-specialty,Own-child,White,Female,30,United-States,<=50K,0
47,Self-emp-not-inc,Less than Bachelor's,Widowed,Exec-managerial,Not-in-family,White,Female,30,United-States,<=50K,0
44,Private,Bachelor's Degree,Widowed,Exec-managerial,Unmarried,White,Female,30,United-States,<=50K,0
33,Private,Less than Bachelor's,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,1
55,Private,Bachelor's Degree,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,1
19,Private,Less than Bachelor's,Never-married,Sales,Not-in-family,White,Male,30,United-States,<=50K,0
28,Private,Less than Bachelor's,Never-married,Other-service,Not-in-family,Black,Male,14,United-States,<=50K,0
27,Private,Less than Bachelor's,Married-civ-spouse,Other-service,Wife,Black,Female,32,United-States,<=50K,0
50,Private,Less than Bachelor's,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20,United-States,<=50K,0
22,Private,Less than Bachelor's,Never-married,Craft-repair,Unmarried,White,Male,40,United-States,<=50K,0
40,State-gov,Bachelor's Degree,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,>50K,1
25,Private,Less than Bachelor's,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,0
26,Local-gov,Less than Bachelor's,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,0
22,Private,Bachelor's Degree,Never-married,Sales,Not-in-family,White,Male,25,United-States,<=50K,0
42,Private,Less than Bachelor's,Never-married,Handlers-cleaners,Unmarried,Black,Female,40,United-States,<=50K,0
38,Self-emp-inc,Bachelor's Degree,Divorced,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K,0
55,Private,Less than Bachelor's,Married-civ-spouse,Other-service,Husband,White,Male,30,United-States,<=50K,0
32,Private,Less than Bachelor's,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,0
22,Private,Less than Bachelor's,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,<=50K,0
29,Private,Bachelor's Degree,Never-married,Sales,Own-child,White,Male,40,United-States,<=50K,0
46,State-gov,Master's Degree,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,1
31,Private,Less than Bachelor's,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,1
58,Self-emp-not-inc,Doctorate Degree,Married-civ-spouse,Prof-specialty,Husband,White,Male,16,United-States,>50K,1
42,Private,Less than Bachelor's,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,<=50K,0
18,Private,Less than Bachelor's,Never-married,Handlers-cleaners,Unmarried,White,Male,25,United-States,<=50K,0
58,Local-gov,Less than Bachelor's,Divorced,Exec-managerial,Not-in-family,White,Male,33,United-States,<=50K,0
54,Private,Less than Bachelor's,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,1
34,Private,Master's Degree,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K,0
26,Private,Bachelor's Degree,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0
61,Private,Less than Bachelor's,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,<=50K,0
48,Local-gov,Master's Degree,Separated,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K,0
36,Private,Less than Bachelor's,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,1
24,Private,Bachelor's Degree,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,45,United-States,<=50K,0
40,Private,Less than Bachelor's,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,37,United-States,<=50K,0
33,Self-emp-inc,Less than Bachelor's,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K,1
37,Private,Less than Bachelor's,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,>50K,1
34,Private,Master's Degree,Never-married,Exec-managerial,Own-child,White,Male,40,United-States,<=50K,0
56,Self-emp-inc,Less than Bachelor's,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,1
37,Private,Bachelor's Degree,Widowed,Exec-managerial,Not-in-family,White,Female,55,United-States,<=50K,0
44,Private,Less than Bachelor's,Divorced,Sales,Unmarried,Black,Female,40,United-States,<=50K,0
54,Private,Less than Bachelor's,Divorced,Handlers-cleaners,Not-in-family,White,Male,45,United-States,<=50K,0
23,Private,Less than Bachelor's,Never-married,Machine-op-inspct,Not-in-family,White,Male,50,United-States,<=50K,0
22,Private,Less than Bachelor's,Never-married,Other-service,Not-in-family,White,Female,45,United-States,<=50K,0
33,Private,Bachelor's Degree,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,1
39,Private,Bachelor's Degree,Separated,Prof-specialty,Not-in-family,White,Male,50,United-States,>50K,1
47,Private,Less than Bachelor's,Divorced,Adm-clerical,Not-in-family,Black,Female,37,United-States,<=50K,0
26,Private,Less than Bachelor's,Never-married,Prof-specialty,Unmarried,Black,Female,55,United-States,<=50K,0
31,Private,Less than Bachelor's,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K,0
44,Private,Less than Bachelor's,Never-married,Transport-moving,Not-in-family,White,Male,45,United-States,<=50K,0
42,Self-emp-inc,Master's Degree,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,>50K,1
19,Private,Less than Bachelor's,Never-married,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K,0
27,Private,Less than Bachelor's,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,>50K,1
51,Local-gov,Less than Bachelor's,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K,1
28,Self-emp-inc,Bachelor's Degree,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,<=50K,0
57,Private,Bachelor's Degree,Divorced,Craft-repair,Not-in-family,White,Male,45,United-States,<=50K,0
45,Local-gov,Bachelor's Degree,Divorced,Prof-specialty,Unmarried,White,Female,40,United-States,<=50K,0
50,Private,Bachelor's Degree,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,1
34,Self-emp-inc,Bachelor's Degree,Married-civ-spouse,Sales,Husband,White,Male,54,United-States,<=50K,0
45,Private,Less than Bachelor's,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,<=50K,0
73,Local-gov,Less than Bachelor's,Married-civ-spouse,Exec-managerial,Husband,White,Male,20,United-States,<=50K,0
34,Private,Bachelor's Degree,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,>50K,1
31,Private,Less than Bachelor's,Married-civ-spouse,Sales,Husband,White,Male,55,United-States,>50K,1
19,Private,Less than Bachelor's,Never-married,Sales,Not-in-family,White,Male,12,United-States,<=50K,0
25,Private,Less than Bachelor's,Never-married,Other-service,Own-child,White,Female,50,United-States,<=50K,0
38,Federal-gov,Bachelor's Degree,Divorced,Craft-repair,Unmarried,White,Female,40,United-States,<=50K,0
39,Private,Bachelor's Degree,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,0
23,Private,Bachelor's Degree,Never-married,Tech-support,Own-child,Black,Female,32,United-States,<=50K,0
49,Private,Less than Bachelor's,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,0
33,Federal-gov,Less than Bachelor's,Never-married,Other-service,Not-in-family,White,Male,32,United-States,<=50K,0
21,Private,Less than Bachelor's,Never-married,Machine-op-inspct,Other-relative,White,Male,38,Mexico,<=50K,0
31,Private,Bachelor's Degree,Separated,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,0
23,Private,Bachelor's Degree,Never-married,Exec-managerial,Not-in-family,White,Female,45,United-States,<=50K,0
34,Private,Bachelor's Degree,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,40,Philippines,<=50K,0
25,Private,Less than Bachelor's,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,40,Philippines,<=50K,0
39,Private,Less than Bachelor's,Never-married,Craft-repair,Unmarried,White,Male,40,United-States,<=50K,0
52,Self-emp-inc,Less than Bachelor's,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,1
63,Local-gov,Less than Bachelor's,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,>50K,1
41,Private,Less than Bachelor's,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0
46,Private,Bachelor's Degree,Married-civ-spouse,Prof-specialty,Husband,White,Male,38,United-States,>50K,1
53,Local-gov,Less than Bachelor's,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K,0
18,Private,Less than Bachelor's,Never-married,Priv-house-serv,Own-child,White,Male,40,United-States,<=50K,0
38,Private,Master's Degree,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,<=50K,0
55,Private,Master's Degree,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,50,Thailand,<=50K,0
34,Private,Less than Bachelor's,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,1
80,Self-emp-not-inc,Less than Bachelor's,Married-civ-spouse,Other-service,Husband,White,Male,30,United-States,<=50K,0
34,Private,Bachelor's Degree,Divorced,Tech-support,Unmarried,White,Female,60,United-States,<=50K,0
52,Private,Less than Bachelor's,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,<=50K,0
42,Private,Less than Bachelor's,Never-married,Other-service,Unmarried,Black,Female,28,Haiti,<=50K,0
26,Private,Less than Bachelor's,Never-married,Sales,Not-in-family,White,Female,40,United-States,<=50K,0
31,Private,Less than Bachelor's,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,0
25,Local-gov,Less than Bachelor's,Never-married,Other-service,Own-child,White,Female,35,United-States,<=50K,0
55,Self-emp-not-inc,Less than Bachelor's,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,<=50K,0
19,Private,Less than Bachelor's,Never-married,Other-service,Own-child,White,Female,12,United-States,<=50K,0
62,Self-emp-not-inc,Less than Bachelor's,Married-civ-spouse,Transport-moving,Husband,White,Male,32,United-States,<=50K,0
22,Federal-gov,Less than Bachelor's,Never-married,Adm-clerical,Own-child,White,Female,20,United-States,<=50K,0
35,Private,Less than Bachelor's,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,0
28,Private,Less than Bachelor's,Married-civ-spouse,Sales,Own-child,White,Female,40,United-States,<=50K,0
47,Private,Less than Bachelor's,Married-civ-spouse,Transport-moving,Husband,White,Male,70,United-States,>50K,1
44,State-gov,Less than Bachelor's,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,0
21,Private,Less than Bachelor's,Never-married,Sales,Own-child,White,Male,15,United-States,<=50K,0
35,Private,Bachelor's Degree,Never-married,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K,0
24,Private,Bachelor's Degree,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,1
28,Private,Bachelor's Degree,Never-married,Tech-support,Own-child,White,Male,50,United-States,<=50K,0
21,Private,Less than Bachelor's,Never-married,Machine-op-inspct,Other-relative,White,Male,35,United-States,<=50K,0
62,Federal-gov,Less than Bachelor's,Divorced,Tech-support,Not-in-family,Black,Male,40,United-States,<=50K,0
39,Private,Less than Bachelor's,Never-married,Other-service,Not-in-family,Black,Female,40,United-States,<=50K,0
30,State-gov,Less than Bachelor's,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K,0
72,Self-emp-not-inc,Master's Degree,Never-married,Prof-specialty,Not-in-family,White,Male,20,United-States,<=50K,0
50,Private,Less than Bachelor's,Married-civ-spouse,Exec-managerial,Wife,White,Female,50,United-States,<=50K,0
28,Local-gov,Master's Degree,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K,0
29,Private,Less than Bachelor's,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,0
26,Private,Bachelor's Degree,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,0
27,Private,Master's Degree,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,0
29,Private,Less than Bachelor's,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,>50K,1
29,Private,Less than Bachelor's,Married-civ-spouse,Craft-repair,Husband,White,Male,25,United-States,<=50K,0
31,Private,Less than Bachelor's,Married-civ-spouse,Sales,Wife,White,Female,20,United-States,<=50K,0
25,Private,Less than Bachelor's,Married-civ-spouse,Exec-managerial,Husband,White,Male,75,United-States,<=50K,0
58,Private,Less than Bachelor's,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,>50K,1
64,Private,Less than Bachelor's,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,>50K,1
46,State-gov,Master's Degree,Never-married,Exec-managerial,Not-in-family,White,Male,38,United-States,<=50K,0
19,Private,Less than Bachelor's,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Female,35,United-States,<=50K,0
42,Private,Less than Bachelor's,Divorced,Other-service,Not-in-family,Black,Male,52,United-States,<=50K,0
18,Private,Less than Bachelor's,Never-married,Handlers-cleaners,Own-child,White,Male,24,United-States,<=50K,0
58,Self-emp-inc,Bachelor's Degree,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,>50K,1
20,Private,Less than Bachelor's,Never-married,Protective-serv,Not-in-family,Black,Male,60,United-States,<=50K,0
